bond_length_angstrom,triplet_energy_hartree,singlet_energy_hartree,gap_hartree,gap_ev,triplet_s2,singlet_s2,triplet_multiplicity,singlet_multiplicity
1.04,-149.57536650278243,-149.5529435910927,0.02242291168971633,0.6101585107485504,2.0,0.0,3.0,1.0
1.06,-149.58887240795508,-149.56860221572953,0.02027019222555282,0.5515800299299408,2.0,0.0,3.0,1.0
1.08,-149.62410499831503,-149.58986023565691,0.03424476265811904,0.931847463592264,2.0,0.0,3.0,1.0
1.1,-149.63301977124488,-149.59955621232768,0.033463558917190994,0.91058982686106,2.0,0.0,3.0,1.0
1.12,-149.6394456260326,-149.60679646925348,0.032649156779115174,0.8884288157223205,2.0,0.0,3.0,1.0
1.1400000000000001,-149.64371545923905,-149.61191154566836,0.03180391357068402,0.8654285763059021,2.0,0.0,3.0,1.0
1.1600000000000001,-149.64612368026525,-149.61519330384684,0.030930376418410788,0.8416584194551748,2.0000000000000004,0.0,3.0000000000000004,1.0
1.1800000000000002,-149.64693052053977,-149.61689923497647,0.030031285563296706,0.81719291092643,2.0,0.0,3.0,1.0
1.2000000000000002,-149.64636574159334,-149.61725615064677,0.02910959094657528,0.7921123227099753,2.0000000000000004,0.0,3.0000000000000004,1.0
1.2200000000000002,-149.64463191599904,-149.6164634734345,0.028168442564549423,0.7665023705718831,2.0,0.0,3.0,1.0
1.2400000000000002,-149.64190729392547,-149.61469611276746,0.027211181158008912,0.7404539607001315,2.0,0.0,3.0,1.0
1.2600000000000002,-149.63834834965223,-149.6121070313936,0.02624131825862719,0.7140626467394017,2.0000000000000004,0.0,3.0000000000000004,1.0
1.2800000000000002,-149.63409206057594,-149.60882955332153,0.025262507254410593,0.6874278424418405,2.0000000000000004,0.0,3.0000000000000004,1.0
1.3000000000000003,-149.6292579640568,-149.60497945803854,0.024278506018248436,0.6606518047381024,2.0000000000000004,0.0,3.0000000000000004,1.0
1.3200000000000003,-149.62395002651664,-149.60065689432815,0.023293132188484833,0.6338384168597165,1.9999999999999998,0.0,3.0,1.0
1.3400000000000003,-149.6182583496619,-149.5959481369672,0.022310212694691245,0.6070918148653882,1.9999999999999998,0.0,3.0,1.0
